Name                                                                            Stmts   Miss   Cover   Missing
ciris_engine/logic/adapters/base.py                                                45     30  33.33%   68-106, 118-132, 141
ciris_engine/logic/dma/csdma.py                                                    77     51  33.77%   59-62, 69, 90-126, 130-190, 199
ciris_engine/logic/adapters/api/api_observer.py                                    47     31  34.04%   25-35, 38, 41, 44-62, 65-82, 85-87
ciris_engine/logic/processors/support/thought_escalation.py                        41     27  34.15%   11, 25, 29-35, 39-45, 49-55, 59-65, 77-98, 102-108
ciris_engine/logic/services/lifecycle/scheduler.py                                192    125  34.90%   41-43, 84-90, 102-103, 116, 140, 145-147, 154-155, 162-174, 178-213, 217-253, 257-273, 277-280, 306-337, 349-356, 360-373, 392-404, 413-420, 427-428, 442-444, 467-477, 489-499, 503
ciris_engine/logic/handlers/external/observe_handler.py                           115     74  35.65%   52, 75-203
ciris_engine/logic/processors/states/wakeup_processor.py                          283    175  38.16%   37-43, 63, 74, 113-114, 124-126, 130-131, 134-137, 141-190, 199, 207-235, 239-249, 253-260, 277, 302-351, 380-388, 392-393, 397-414, 424-445, 449-450, 454, 462, 467-474, 478-479, 491
ciris_engine/logic/persistence/utils.py                                            77     47  38.96%   21-29, 50-52, 63-65, 69-131
ciris_engine/logic/adapters/api/config.py                                          46     28  39.13%   31-33, 38-49, 55-75
ciris_engine/logic/handlers/control/reject_handler.py                              56     34  39.29%   31-85, 90
ciris_engine/logic/dma/pdma.py                                                     54     32  40.74%   43-45, 63, 67-118
ciris_engine/logic/processors/states/play_processor.py                             39     23  41.03%   36, 43-58, 62-79, 86-100, 112, 128-129, 133-140
ciris_engine/logic/buses/wise_bus.py                                               41     24  41.46%   12, 40-54, 62-76, 86-95, 99
ciris_engine/logic/config/config_accessor.py                                      115     67  41.74%   44-46, 75-87, 102-104, 109-115, 122-124, 128-133, 137-142, 146-147, 153, 160-161, 173-181, 185-206
ciris_engine/logic/infrastructure/handlers/base_handler.py                        102     59  42.16%   45-64, 132-138, 153-166, 176-206, 215-231, 239-256
ciris_engine/logic/buses/communication_bus.py                                      66     38  42.42%   11, 61-73, 87-101, 114-128, 132-138, 142-164
ciris_engine/logic/context/secrets_snapshot.py                                     14      8  42.86%   10-25
ciris_engine/logic/context/system_snapshot.py                                     133     75  43.61%   36-37, 41, 57-87, 90, 92, 95-107, 116-140, 146-147, 164, 169, 176-202, 229-233, 237-240
ciris_engine/logic/processors/core/base_processor.py                               71     40  43.66%   19, 39, 44, 76-77, 81, 85-92, 104-118, 130-144, 148, 153
ciris_engine/logic/conscience/thought_depth_guardrail.py                           36     20  44.44%   28-31, 41-134
ciris_engine/logic/persistence/models/tasks.py                                    163     90  44.79%   11, 17-31, 43-44, 70-72, 83-86, 98-102, 123-134, 153-156, 166-209, 213-224
ciris_engine/logic/runtime/ciris_runtime.py                                       517    285  44.87%   83, 87-88, 91, 124, 136, 144, 148, 153, 157, 161, 170-176, 195-199, 204, 209-223, 227, 231-232, 236, 241, 262-266, 272, 395-396, 398-399, 401-402, 414-415, 428, 433-435, 449-450, 467, 472-473, 484, 499, 524-538, 543-544, 557, 567, 575-576, 591-599, 616-623, 634-717, 722-899, 903-957
ciris_engine/logic/persistence/models/identity.py                                  84     46  45.24%   40-57, 83-84, 95-97, 119-159, 180-221, 243, 259-261, 276-278
ciris_engine/logic/registries/base.py                                             218    119  45.41%   203-234, 243-270, 278-309, 331, 336, 353, 384-406, 423-427, 434-438, 453-455, 459-462, 478-496, 500-505, 512-514
ciris_engine/logic/audit/signature_manager.py                                     185    100  45.95%   42, 47-49, 72-77, 84-91, 95-123, 128, 141, 159-182, 187, 191, 207-209, 217-220, 223-224, 227-228, 244-249, 253-273, 277-288, 292-308, 312-341, 346, 359-364
ciris_engine/logic/adapters/cli/adapter.py                                         93     50  46.24%   28-29, 33, 37-44, 76-90, 130-167, 171-175
ciris_engine/logic/services/graph/audit_service.py                                411    216  47.45%   26, 45-47, 95, 128-134, 158, 162-166, 170, 219, 226-229, 290, 295, 336, 340-341, 368-370, 388, 401-409, 415-417, 436-457, 486-492, 525-534, 540-543, 547-582, 586, 631-632, 668, 685, 698-700, 705, 712, 772-819, 825, 832-837, 841-854, 858-863, 867-893, 897-933, 938, 940, 951, 955, 968-991, 996-1039, 1065-1073, 1086-1094, 1109-1144
ciris_engine/logic/buses/base_bus.py                                               75     39  48.00%   65-71, 75-82, 86-109, 118, 128-135, 139, 143, 153-159
ciris_engine/logic/secrets/service.py                                             201    104  48.26%   162, 187-199, 208-221, 225-264, 356, 367-382, 386, 390, 406-409, 415-419, 424-434, 458-459, 464-466, 470-502, 518-519, 524-531, 547-548, 556, 560-562
ciris_engine/logic/runtime/identity_manager.py                                     78     40  48.72%   43-61, 67-68, 79-82, 86-97, 102-118, 162-163, 169-170
ciris_engine/logic/persistence/models/graph.py                                     90     46  48.89%   22-24, 48-50, 71-73, 82-84, 87-110, 113-121, 124-145
ciris_engine/logic/dma/prompt_loader.py                                            55     28  49.09%   30, 33, 52, 59, 64-69, 82-108, 121-125, 137
ciris_engine/logic/secrets/filter.py                                              114     58  49.12%   44-45, 67, 88-89, 126, 131-137, 141-150, 155-159, 165, 170-179, 191-201, 216-235, 240-255, 264-270, 274
ciris_engine/logic/config/db_paths.py                                              23     11  52.17%   38-43, 55-60, 65
ciris_engine/logic/services/infrastructure/authentication.py                      549    260  52.64%   97-100, 186, 190-223, 237-259, 306, 337, 341, 343, 346, 371, 432, 451-452, 475, 486-500, 515, 520, 529-535, 542, 560-563, 614-642, 653-676, 684-686, 715-716, 721-722, 734-762, 766-776, 780-796, 809-834, 838, 842-856, 861-875, 879-932, 948-1017, 1021, 1027-1028, 1032, 1041, 1046-1047, 1056-1108, 1117-1147, 1155-1177, 1188-1199, 1208-1209, 1213, 1221, 1225, 1253-1278, 1311-1312, 1346, 1353-1354
ciris_engine/logic/buses/bus_manager.py                                            58     27  53.45%   68-76, 80-88, 92-95, 99, 103-109
ciris_engine/logic/services/graph/base.py                                          54     25  53.70%   18, 46, 50, 64, 76, 88, 99-109, 120-138
ciris_engine/logic/dma/base_dma.py                                                 78     35  55.13%   15, 68-71, 75, 77, 83-87, 96-120, 132-148, 153, 158
ciris_engine/logic/utils/channel_utils.py                                          24     10  58.33%   25, 28, 36, 38, 40, 65-70
ciris_engine/logic/secrets/encryption.py                                           65     27  58.46%   32, 111-121, 125, 139-150, 159-173
ciris_engine/logic/services/graph/telemetry_service.py                            232     95  59.05%   97-111, 116, 133-134, 169, 172, 239-240, 257-258, 265, 280, 286, 294, 326, 345-347, 365-409, 413, 426-468, 509-511, 520-536, 549-563, 575-589, 622-625, 629-633
ciris_engine/logic/adapters/cli/config.py                                          55     22  60.00%   31, 38-39, 47, 51, 55, 59, 63-89
ciris_engine/logic/utils/shutdown_manager.py                                       44     17  61.36%   22, 27-28, 32-33, 37-39, 48-49, 53-54, 58-60, 69, 73-74
ciris_engine/logic/adapters/api/api_runtime_control.py                            259    100  61.39%   60, 72, 84, 98, 104, 133, 139-141, 151, 175, 179, 192, 212, 218-220, 232, 238-240, 247, 256-269, 273-284, 288-293, 298-303, 307-312, 317-325, 329-334, 338-343, 347-353, 357-373
ciris_engine/logic/adapters/__init__.py                                            30     11  63.33%   31-32, 37-45
ciris_engine/logic/handlers/memory/memorize_handler.py                             55     19  65.45%   43-55, 70-91, 112, 139-153
ciris_engine/logic/services/graph/memory_service.py                               276     91  67.03%   39, 61-63, 92-94, 108-110, 113-123, 128, 150-151, 166, 170, 172, 176, 182-202, 207, 211, 213, 217, 224, 259-269, 299, 321, 325, 329, 357-359, 424-426, 432-484, 501-502, 520-521, 546-548, 608-616, 620-621, 625, 629
ciris_engine/logic/utils/incident_capture_handler.py                               82     27  67.07%   22, 58-60, 71, 92-96, 100-145, 149-156, 160-166, 187
ciris_engine/logic/registries/circuit_breaker.py                                   74     24  67.57%   58-68, 73, 80-82, 95-96, 106-108, 112-115, 129-133
ciris_engine/logic/processors/support/state_manager.py                             84     27  67.86%   85, 88, 94, 106-110, 114-117, 124-130, 154, 158-160, 164-168, 176-188
ciris_engine/logic/processors/support/processing_queue.py                          38     12  68.42%   36, 49-62
ciris_engine/logic/dma/factory.py                                                  61     19  68.85%   29-30, 35-36, 41-42, 77-78, 82-83, 94, 96, 99-101, 119-120, 144-145
ciris_engine/logic/services/graph/tsdb_consolidation_service.py                   245     73  70.20%   20, 76-89, 94, 104-105, 124-125, 150-158, 192, 197, 202, 206-208, 213, 234-235, 275, 285, 287-288, 335-336, 354, 395, 414-421, 425, 466-467, 480, 498-502, 509-513, 517-535
ciris_engine/logic/handlers/control/ponder_handler.py                              69     20  71.01%   88-120, 135, 147, 159-178
ciris_engine/logic/utils/initialization_manager.py                                 28      8  71.43%   37-38, 42-43, 47-48, 52-53
ciris_engine/schemas/services/graph_typed_nodes.py                                 60     17  71.67%   62, 72, 85, 90, 105, 109, 111, 118, 127-139
ciris_engine/logic/runtime/service_initializer.py                                 290     81  72.07%   151-152, 186-187, 195-197, 227-228, 232-233, 237-238, 260-286, 408-410, 418-420, 424-445, 464, 552-553, 566-567, 571-572, 576-578, 587-619, 624, 677-678
ciris_engine/logic/services/runtime/llm_service.py                                147     41  72.11%   39, 86-87, 106, 110, 134, 152, 157-181, 228-229, 239-240, 256-257, 260-261, 266-273, 304-309
ciris_engine/logic/services/runtime/secrets_service.py                             33      9  72.73%   11, 56-59, 387-414
ciris_engine/protocols/services/infrastructure/authentication.py                    8      2  75.00%   19-20
ciris_engine/protocols/services/infrastructure/resource_monitor.py                  4      1  75.00%   14
ciris_engine/logic/services/lifecycle/shutdown.py                                  92     22  76.09%   37-39, 82, 149-153, 170-171, 175-186, 190-192, 196
ciris_engine/logic/handlers/memory/recall_handler.py                               49     11  77.55%   24-29, 35, 77-82
ciris_engine/logic/utils/logging_config.py                                         64     14  78.12%   41-43, 46, 66, 79-80, 111-117
ciris_engine/logic/secrets/store.py                                               167     36  78.44%   78, 230-233, 365-366, 369-370, 405, 492, 496, 500, 504-510, 514-543, 554-555, 572-574, 590-592, 596
ciris_engine/protocols/services/graph/config.py                                     5      1  80.00%   9
ciris_engine/logic/persistence/db/core.py                                          32      6  81.25%   33, 36, 39, 68-70
ciris_engine/logic/config/env_utils.py                                             29      5  82.76%   14, 20-22, 34
